timestamp,value,iforest_anomaly,iforest_score,ae_anomaly,ensemble_anomaly
2013-07-05 05:00:00,69.74896285,0,-0.22011679205337165,0.0,0
2013-07-05 06:00:00,68.74938222,0,-0.21481460592444923,0.0,0
2013-07-05 07:00:00,69.35162661,0,-0.21243297280904938,0.0,0
2013-07-05 08:00:00,68.85314844,0,-0.22423603541779719,0.0,0
2013-07-05 09:00:00,70.31790951,0,-0.20607205246104265,0.0,0
2013-07-05 10:00:00,70.30055692,0,-0.22619998167166722,0.0,0
2013-07-05 11:00:00,72.53056283,0,-0.1956509408222274,0.0,0
2013-07-05 12:00:00,71.64320692,0,-0.2172654943261318,0.0,0
2013-07-05 13:00:00,72.92223804,0,-0.2114521013325018,0.0,0
2013-07-05 14:00:00,72.63758833,0,-0.22804653167910172,0.0,0
2013-07-05 15:00:00,72.95903086,0,-0.2279629880433151,0.0,0
2013-07-05 16:00:00,72.15222081,0,-0.22678907604006382,0.0,0
2013-07-05 17:00:00,72.16607562,0,-0.23240514269766122,0.0,0
2013-07-05 18:00:00,72.30558574,0,-0.2387382202472263,0.0,0
2013-07-05 19:00:00,72.3823022,0,-0.2416718145341043,0.0,0
2013-07-05 20:00:00,72.61234869,0,-0.21343858853484993,0.0,0
2013-07-05 21:00:00,72.77599570000002,0,-0.21571892331780496,0.0,0
2013-07-05 22:00:00,71.91696888,0,-0.20528586555121392,0.0,0
2013-07-05 23:00:00,71.55368851,0,-0.20014052480928818,0.0,0
2013-07-06 00:00:00,71.63096403,0,-0.18527344232981974,0.0,0
2013-07-06 01:00:00,70.59673521,0,-0.18844637225866384,0.0,0
2013-07-06 02:00:00,70.85248247,0,-0.20538584742082872,0.0,0
2013-07-06 03:00:00,71.08476824,0,-0.20863682249501242,0.0,0
2013-07-06 04:00:00,70.84723252,0,-0.19569361948490122,0.0,0
2013-07-06 05:00:00,70.23242259999999,0,-0.19500457851017167,0.0,0
2013-07-06 06:00:00,70.12823808,0,-0.20274953059705947,0.0,0
2013-07-06 07:00:00,69.92923136,0,-0.20345931483764984,0.0,0
2013-07-06 08:00:00,69.28574982,0,-0.19929002861962575,0.0,0
2013-07-06 09:00:00,69.72638712,0,-0.2032203419239637,0.0,0
2013-07-06 10:00:00,68.19010253,0,-0.17819954145543027,0.0,0
2013-07-06 11:00:00,68.91679541,0,-0.1935768149325811,0.0,0
2013-07-06 12:00:00,67.26820458,0,-0.16585847322062025,0.0,0
2013-07-06 13:00:00,66.9649601,0,-0.1726851142535924,0.0,0
2013-07-06 14:00:00,67.76538379,0,-0.16862016696165094,0.0,0
2013-07-06 15:00:00,66.91858576,0,-0.1512976773191555,0.0,0
2013-07-06 16:00:00,67.60522282,0,-0.15311442676247006,0.0,0
2013-07-06 17:00:00,67.17661097,0,-0.15950085150497145,0.0,0
2013-07-06 18:00:00,67.99254044,0,-0.16190695996492427,0.0,0
2013-07-06 19:00:00,67.25818019,0,-0.16018206973709087,0.0,0
2013-07-06 20:00:00,66.59407898,0,-0.15636392738060234,0.0,0
2013-07-06 21:00:00,67.86855757,0,-0.1544122432881565,0.0,0
2013-07-06 22:00:00,67.2922007,0,-0.14689568413631332,0.0,0
2013-07-06 23:00:00,67.16337656,0,-0.15037784568695917,0.0,0
2013-07-07 00:00:00,66.27568448,0,-0.15686262601196732,0.0,0
2013-07-07 01:00:00,65.96858705,0,-0.16613486818518658,0.0,0
2013-07-07 02:00:00,65.31642297,0,-0.16693320307725668,0.0,0
2013-07-07 03:00:00,65.42912751,0,-0.17173421904703107,0.0,0
2013-07-07 04:00:00,66.75098393,0,-0.1578891907995611,0.0,0
2013-07-07 05:00:00,64.68391715,0,-0.1320284079796662,0.0,0
2013-07-07 06:00:00,64.56520692,0,-0.16444851610371936,0.0,0
2013-07-07 07:00:00,66.12965686,0,-0.14280252509662972,0.0,0
2013-07-07 08:00:00,66.09613054,0,-0.17618098734773924,0.0,0
2013-07-07 09:00:00,64.9748123,0,-0.1710227289441535,0.0,0
2013-07-07 10:00:00,64.33478963,0,-0.17007607471558867,0.0,0
2013-07-07 11:00:00,65.54142516,0,-0.1575847627717863,0.0,0
